model,price,rating,reviews,title
chair,$107.54,4.7 out of 5 stars,96,"SMUG Home Office Desk Chair, Office Chairs Desk Chair Rolling Task Chair Computer Chair Adjustable with Wheels Armless for Bedroom, Vanity Chair for Makeup Room, Living Room Blue"
chair,$69.99,4.3 out of 5 stars,110,"Ergonomic Home Office Chair – Rolling Desk Chair with Lumbar Support and Armrest, Height Adjustable Breathable Mesh Chair, Mid Back Executive Task Chair with Padded Seat and Tilt Function"
chair,$86.08,4.5 out of 5 stars,967,"SMUG Home Office Mesh Desk Ergonomic Computer Flip Up Armrests Mid Back Lumbar Support Adjustable Swivel Task Chair, Black, 19D x 20W x 36H"
chair,$70.72,4.6 out of 5 stars,12,"Amazon Basics Kids Adjustable Mesh Low-Back Swivel Study Desk Chair with Footrest, Black"
chair,$178.19,4.3 out of 5 stars,"3,543","AmazonCommercial Ergonomic High-Back Bonded Leather Executive Chair with Flip-Up Arms and Lumbar Support, Black"
chair,$181.12,4.4 out of 5 stars,"2,112","Amazon Basics High-Back Executive Swivel Office Desk Chair with Ribbed Puresoft Upholstery, Lumbar Support, Modern Style, 23.9""D x 24.69""W x 41.5""H, Black"
chair,$72.99,4.4 out of 5 stars,398,"Office Chair Desk Chairs Mesh Computer Desk Chair with Wheels Ergonomic Office Chair Height Adjustable Swivel Task Chair with Mid Back, 90° Flip-up Arms and Lumbar Support, Grey"
chair,$149.99,4.1 out of 5 stars,77,"Massage Recliner Chair, Fabric Recliner Sofa Home Theater Seating with Lumbar Support Winback Single Sofa Armchair Reclining Chair Easy Lounge for Living Room Grey"
chair,$289.99,3.5 out of 5 stars,11,"MoNiBloom Gaming Chair Recliner Ergonomic Adjustment Lumbar Support Swivel Reclining Game Chair PU Leather Movie Theater Chair with Cup Holder for RV Home Bedroom Small-Space Gaming Relaxing, Purple"
chair,"$82.10,$89.98",4.4 out of 5 stars,"19,224","BestOffice High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men (White)"
chair,"$84.64,$163.99",4.4 out of 5 stars,810,"American Trails Extra-Wide Premium 30"" Director's Chair Black Frame with Black Canvas, Bar Height"
chair,$118.13,4.2 out of 5 stars,47,"ZUNMOS Gaming Chair Office Chair Flip-up Armrest Chair with Soft Padded Height Adjustable Desk Chair Computer Chair with Lumbar Support for Gaming, Working, Grey"
chair,"$89.16,$139.99",4.6 out of 5 stars,"4,282","COSCO Vinyl Folding Chair, 4 Pack, Black"
chair,"$81.96,$94.83",4.3 out of 5 stars,"28,869","Amazon Basics Padded Office Desk Chair with Armrests, Adjustable Height/Tilt, 360-Degree Swivel, 275Lb Capacity, 24.2""D x 24""W x 34.8""H, Black"
chair,$492.51,4.3 out of 5 stars,"1,769",Steelcase Series 1 Work Office Chair - Scarlet
chair,"$61.87,$82.49",4.4 out of 5 stars,"15,976","Amazon Basics Mesh, Mid-Back, Adjustable, Swivel Office Desk Chair with Armrests, Black"
chair,$86.56,4.3 out of 5 stars,"1,840",SMUG Ergonomic Home Computer Lumbar Support Mesh Adjustable Headrest Armrest and Wheels Swivel Rolling (Grey) Office Chair
chair,"$63.99,$154.99",4.3 out of 5 stars,"3,272","Casual Home Director's Chair ,Black Frame/Black Canvas,30"" - Bar Height"
chair,"$84.71,$110.99",4.5 out of 5 stars,"1,632","Home Office Chair, Mid-Back Armless Twill Fabric Adjustable Swivel Task Chair for Small Space, Living Room, Make-up, Studying"
chair,"$30.60,$49.99",4.2 out of 5 stars,"1,008","Ergonomic Home Office Desk Chair, Adjustable Armless Computer Chair with Lumbar Support, Small Mesh Task Chair with Backrest Swivel Rolling for Study, Office, Conference Room Black"
chair,"$180.26,$199.99",4.1 out of 5 stars,42,"Edenbrook Carlton Exposed Wooden Arm Accent Chair for Living Room-Real Wood-Modern Channeled Tufting, Brown"
chair,$185.01,4.2 out of 5 stars,346,"Amazon Basics Ergonomic Adjustable High-Back Chair with Flip-Up Arms and Headrest, Contoured Mesh Seat - Grey, 25.5""D x 26.25""W x 45.5""H"
chair,$58.98,4.6 out of 5 stars,"2,624",Flash Furniture Elon Series White Plastic Chair with Wooden Legs
chair,$154.99,4.6 out of 5 stars,4,"QIAYA Suede Leather Dining Chair Set of 4 with PU Upholstered Cushion, Mid Century Faux Leather Dining Room Chair, Armless Accent Shell Dinner Chair Brown"
chair,$209.00,,,"Bme Ergonomic Wicker Papasan Chair Soft Thick Density Fabric Cushion and High Capacity Steel 360 Degree Swivel for Livingroom, Bedroom, Reading Room, Leisure Lounge, Cinnamon Mocha - Brown Frame"
chair,$159.99,,,"MoNiBloom Accent Chair Modern Armchair Single Sofa Chair with Lumbar Pillow, Mid Century Modern Comfortable Leatheraire Reading Chair for Living Room Bedroom, Metal Legs Back Club Arm Chair, White"
chair,"$138.49,$155.49",3.7 out of 5 stars,148,"Seachoice High-Back Canvas Folding Chair, Blue w/Red Trim, Folds for Easy Storage"
chair,"$58.37,$61.46",4.1 out of 5 stars,142,"Office Chair - Desk Chair with Wheels, Ergonomic Home Office Chair with Flip-up Arms and Lumbar Support, Mesh Swivel Rolling Chair Height Adjustable, Tilt and Lock, Computer Desk Chair, Grey"
chair,,,,
model,price,rating,reviews,title
chair,,,,
chair,,,,
chair,,,,
chair,,,,
chair,,4.3 out of 5 stars,"28,869","Amazon Basics Padded Office Desk Chair with Armrests, Adjustable Height/Tilt, 360-Degree Swivel, 275Lb Capacity - Dark Brown, 24""D x 24.2""W x 34.8""H"
chair,,,,
chair,,4.3 out of 5 stars,"28,869","Amazon Basics Padded Office Desk Chair with Armrests, Adjustable Height/Tilt, 360-Degree Swivel, 275Lb Capacity - Dark Brown, 24""D x 24.2""W x 34.8""H"
chair,,,,
chair,,,,
chair,,,,"Amazon Basics Padded Office Desk Chair with Armrests, Adjustable Height/Tilt, 360-Degree Swivel, 275Lb Capacity - Dark Brown, 24""D x 24.2""W x 34.8""H"
chair,,4.3 out of 5 stars,"28,869",
chair,,,,
chair,"$82.10,$89.98",4.4 out of 5 stars,"19,224","BestOffice High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men (White)"
chair,,,,
chair,"$82.10,$89.98",4.4 out of 5 stars,"19,224","BestOffice High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men (White)"
chair,,,,
chair,,,,
chair,,,,"BestOffice High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men (White)"
chair,,4.4 out of 5 stars,"19,224",
chair,"$82.10,$89.98",,,
chair,,,,
chair,,4.1 out of 5 stars,"1,081","X Rocker Trident Pedestal Video Gaming Chair 4.1, Wireless Audio, Backrest Mounted Subwoofer, Padded Armrest, 5152301, 30.9"" x 41.7"" x 26.2"", Black and Gold"
chair,,,,
chair,,4.1 out of 5 stars,"1,081","X Rocker Trident Pedestal Video Gaming Chair 4.1, Wireless Audio, Backrest Mounted Subwoofer, Padded Armrest, 5152301, 30.9"" x 41.7"" x 26.2"", Black and Gold"
chair,,,,"X Rocker Trident Pedestal Video Gaming Chair 4.1, Wireless Audio, Backrest Mounted Subwoofer, Padded Armrest, 5152301, 30.9"" x 41.7"" x 26.2"", Black and Gold"
chair,,4.1 out of 5 stars,"1,081",
