model,title,price,rating,reviews
ipad,EXCELLENT -Apple iPad Pro 12.9 (2nd Gen) 256GB Wi-Fi- ACCESSORY BUNDLE!!!,"9,170,714.29 VND",,
ipad,"Apple iPad Pro 3rd Gen A1876,64GB, Wi-Fi, 12.9"",Space Gray :IM246","6,404,761.90 VND",4.5 out of 5 stars.,59 product ratings
ipad,"Apple iPad 8th Gen. 32GB, Wi-Fi + 4G (Unlocked), 10.2 in - Space Gray","4,761,666.67 VND",4.5 out of 5 stars.,16 product ratings
ipad,"Apple iPad 5th Gen 9.7"" 32GB 128GB Gray Silver WiFi or Cellular Unlocked Good","3,095,000.00 VND,4,209,285.71 VND",,
ipad,"Apple iPad 10th Gen. 64GB, Wi-Fi, 10.9in - Blue- Apple Warranty RL6035","7,619,047.62 VND",4.5 out of 5 stars.,8 product ratings
ipad,"Apple iPad 5th Gen A1822 2017  9.7"" - 32GB Wi-Fi - B Grade - MP2F2LL/A","2,499,761.90 VND",,
ipad,"iPad (7th generation), 128GB, Wi-Fi Only, Space Gray, MW772LL/A 10.2”","5,475,000.00 VND",5.0 out of 5 stars.,133 product ratings
ipad,Apple iPad Air 16gb Space Gray Black WiFi MD785LL/A Open Box!,"535,714.29 VND",,
ipad,"2021 Apple iPad 9th Gen 64/256GB WiFi 10.2"" SHIPS SAME DAY FREE AND FAST!!!","7,023,809.52 VND,10,952,380.95 VND",5.0 out of 5 stars.,59 product ratings
ipad,Apple iPad 5th Gen 32GB Wi-Fi Space Gray - A1822,"2,233,095.24 VND",4.5 out of 5 stars.,83 product ratings
ipad,"Apple iPad Pro 3rd Gen. 256GB, Wi-Fi +Cellular 12.9 in - Space Gray","11,309,285.71 VND",,
ipad,Apple iPad Mini 2nd Gen 7.9in - Wi-Fi or cellular (unlocked) - 16GB 32GB 64GB,"1,425,000.00 VND,2,139,285.71 VND",4.5 out of 5 stars.,60 product ratings
ipad,"Apple iPad 6th Gen A1893, 32GB, Wi-Fi, 9.7"",Space Gray,Back light : IX057","1,785,714.29 VND",4.5 out of 5 stars.,29 product ratings
ipad,"Apple iPad 5th Generation 32/128GB, Wi-Fi, 9.7in, ALL COLOURS GOOD USED","4,053,396.17 VND,4,353,669.98 VND",5.0 out of 5 stars.,214 product ratings
ipad,Apple iPad 9th Gen 10.2 in 64GB Space Gray Wi-Fi + Cell 5G w/ Apple Warranty,"4,773,809.52 VND",5.0 out of 5 stars.,10 product ratings
ipad,"Apple iPad 10th Gen 10.9""(2022) WiFi 64GB 12MP A14 Tablet Silver FREE SHIPPING!","8,095,000.00 VND",,
ipad,Apple iPad Air 2 A1567 (WiFi + Cellular Unlocked) 64GB Space Gray (Excellent),"3,333,333.33 VND",4.5 out of 5 stars.,296 product ratings
ipad,"Apple iPad 6 (6th Generation) 9.7"" Space Gray - (2018 Model) - 32GB - Wi-Fi","2,975,952.38 VND",5.0 out of 5 stars.,677 product ratings
ipad,"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray Fair Condition ","4,738,095.24 VND",5.0 out of 5 stars.,190 product ratings
ipad,"Apple iPad Air 4th Gen Wi-Fi, 10.9in - 64GB 256GB - Gray Silver Gold Green Blue","9,282,142.86 VND,11,425,000.00 VND",5.0 out of 5 stars.,20 product ratings
ipad,"Apple iPad Pro 32/128/256GB, Wi-Fi or 4G - 9.7in-VARIOUS COLOURS, Good Used","4,353,669.98 VND,4,954,217.60 VND",5.0 out of 5 stars.,20 product ratings
ipad,"Apple iPad 6th gen 2018/2019 9.7"" 32GB 128GB Wi-Fi or Wi-Fi + 4G EXCELLENT","4,954,217.60 VND",,
ipad,Apple iPad Air 2 9.7in Tablet Choose Color 16GB 32GB 64GB 128GB *Grade B*,"2,261,666.67 VND,3,571,190.48 VND",5.0 out of 5 stars.,259 product ratings
ipad,"Apple iPad 6th 9.7"" 2018 Wifi or Unlocked - 32GB 128GB - Gray Silver Gold ","3,805,952.38 VND,4,758,333.33 VND",5.0 out of 5 stars.,81 product ratings
ipad,Shop on eBay,$20.00,,
ipad,"Apple iPad 6th Gen 9.7"" 32GB 128GB Silver Gray WiFi or Cellular Unlocked Good","3,214,285.71 VND,3,961,666.67 VND",,
ipad,"Apple iPad 8th Gen. 32GB, Wi-Fi + 4G (Unlocked), 10.2 in - Space Gray","4,761,666.67 VND",4.5 out of 5 stars.,16 product ratings
ipad,"Apple iPad 4th Gen. 16GB, Wi-Fi, 9.7in - Black","641,666.67 VND",,
ipad,"Apple iPad 5th Gen 9.7"" 32GB 128GB Gray Silver WiFi or Cellular Unlocked Good","3,095,000.00 VND,4,209,285.71 VND",,
ipad,"Apple iPad 6th gen 2018/2019 9.7"" 32GB 128GB Wi-Fi or Wi-Fi + 4G GOOD USED","4,804,080.69 VND",5.0 out of 5 stars.,1 product rating
ipad,"Apple iPad 7th Gen (2019) 10.2"" 32GB WIFI Grey A++ Grade Apple Box Fast Delivery","5,975,448.81 VND",4.5 out of 5 stars.,23 product ratings
ipad,"Apple iPad Mini 4 (2015) 7.9"" 16GB 64GB 128GB Gray Silver Gold WiFi or Cellular","2,971,190.48 VND,3,961,666.67 VND",,
ipad,"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray Fair Condition ","4,738,095.24 VND",5.0 out of 5 stars.,190 product ratings
ipad,Apple iPad 1st Generation (2010) - 32GB - Black - WiFi - iPadOS 5.0 - Reading,"450,110.45 VND",,
ipad,"Apple iPad Pro 12.9"" 5th Gen Wifi+Cellular 5G 12MP All Colors 128GB -","19,738,095.24 VND",,
ipad,"Apple iPad Pro 6th Gen. 2TB, Wi-Fi, 12.9in - Space Gray","19,761,904.76 VND",5.0 out of 5 stars.,1 product rating
ipad,"Apple iPad Pro 9.7"" 32GB 128GB 256GB Gray Silver Gold Rose WiFi / Cellular- Good","3,342,619.05 VND,4,828,333.33 VND",5.0 out of 5 stars.,211 product ratings
ipad,"Apple iPad 10th Gen. 64GB, Wi-Fi, 10.9in - Pink -RLH6032","6,666,666.67 VND",5.0 out of 5 stars.,3 product ratings
ipad,"Apple iPad 7th Gen. 32GB, Wi-Fi, 9.7 in - Space Gray - Bundle - Daily Deal","3,567,857.14 VND",5.0 out of 5 stars.,373 product ratings
ipad,"Apple iPad 6th 9.7"" 2018 Wifi or Unlocked - 32GB 128GB - Gray Silver Gold ","3,805,952.38 VND,4,758,333.33 VND",5.0 out of 5 stars.,81 product ratings
ipad,"Apple iPad 6th Gen. 32GB, Wi-Fi + Cellular 9.7in - Space Gray","2,952,380.95 VND",4.5 out of 5 stars.,109 product ratings
ipad,iPad Air 2,"1,428,333.33 VND",,
ipad,Apple iPad Air 2 A1566 32GB Wi-Fi 9.7in Space Gray - MNV22LL/A,"1,904,523.81 VND",,
ipad,"Apple iPad 9th Generation (2021) 10.2"" Brand New 64GB WiFi Space Grey Silver iOS","9,308,187.83 VND",5.0 out of 5 stars.,64 product ratings
ipad,"Apple iPad 8th Gen. 32GB, Wi-Fi 10.2 in - Space Gray with Logitech Slim Folio","4,500,000.00 VND",,
ipad,"Apple iPad 4 (4th Gen) 16GB Wi-Fi Retina 9.7"" Black or White - Good","1,665,952.38 VND",,
