model,price,rating,reviews,title
table,"$49.14,$73.85",4.4 out of 5 stars,"22,878","Amazon Basics Classic TV Dinner Folding Trays with Storage Rack - 4-Pack, Espresso"
table,"$4,674.60",1.0 out of 5 stars,1,2 in 1 Marble Texture Coffee Table for Living Room Sofa Side Round Combination Home Furniture Metal Bracket
table,"$34.79,$59.99",4.5 out of 5 stars,583,"Baby Relax Hunter 3-Piece Kiddy Table & Chair, Blue/White Table Set"
table,"$29.97,$49.99",4.7 out of 5 stars,"6,483","Baby Shark Chair Desk with Storage Bin - Ideal for Arts & Crafts, Snack Time, Homeschooling, Homework & More by Delta Children"
table,"$43.49,$69.99",4.6 out of 5 stars,"1,914","Delta Children MySize Kids Wood Table and Chair Set (2 Chairs Included) - Ideal for Arts & Crafts, Snack Time, & More - Greenguard Gold Certified, Bianca White, 3 Piece Set"
table,"$39.00,$53.99",4.5 out of 5 stars,"11,673","Baby Relax Hunter 3-Piece Kiddy Table & Chair, Gray"
table,"$35.99,$64.99",4.6 out of 5 stars,"1,738","Sauder North Avenue Side Table, L: 15.51"" x W: 15.51"" x H: 20.00"", Charter Oak Finish"
table,$48.99,4.1 out of 5 stars,133,"VECELO Round Bar Table, Classic Bistro Pub Furniture,Small Spaces Saving for Dining Room Breakfast,Coffee, Easy to Assemble, Maple"
table,"$50.99,$82.86",4.8 out of 5 stars,"1,069","Convenience Concepts Designs2Go Classic Glass 3 Tier Round Table, Glass"
table,$26.34,4.6 out of 5 stars,"1,300","Atlantic Metal Side Table - Stylish Folding Tray Table, Sturdy Steel Construction with Wear-Resistant Powder Coating, PN in Black - 38435984"
table,$19.98,4.6 out of 5 stars,"1,093","Ameriwood Home Parsons Modern End Table, Gray"
table,"$59.37,$104.95",4.6 out of 5 stars,"12,294",Winsome Wood TV Tray Set
table,$59.79,4.7 out of 5 stars,193,"VECELO Tall End Side Tables, 30"" Height Nightstand with 3-Tier Storage Shelf for Bedroom Living Room, Easy Assembly,Industrial Style, 1-Pack, Charcoal Grey"
table,"$31.12,$81.99",4.5 out of 5 stars,"11,718","Household Essentials Square Wooden Side Table/End Table With Storage Shelf, Ashwood"
table,$28.69,4.1 out of 5 stars,"7,785","Furinno Coffee Table with Bins, Espresso/Brown"
table,$46.47,4.6 out of 5 stars,"1,310","Convenience Concepts Omega End Table with Shelves, Driftwood Top/White, 15.75 in x 15.75 in x 23.75 in"
table,"$40.81,$89.00",4.7 out of 5 stars,"15,810","Winsome Alex 2-pc Set TV Table, Natural, 19.06 x 14.57 x 25.98"""
table,"$29.53,$35.05",4.4 out of 5 stars,843,"Totnz TV Tray Table, Folding TV Dinner Table Comfortable Folding Table with 3 Tilt Angle Adjustments for Eating Snack Food, Stowaway Laptop Stand"
table,$42.15,5.0 out of 5 stars,16,"VECELO Coffee Table for Living Room with Storage Compartment Shelf, Rustic Brown"
table,"$59.63,$93.60",4.6 out of 5 stars,"1,682","Winsome Wood Sasha Accent Table, White, 20 inches"
