model,title,price,rating,reviews
pencil,Universal Active Stylus Pen Pencil for Apple iPad iPhone Android Samsung Tablet,"388,854.57 VND",,
pencil,Microblading Waterproof Tattoo Eyebrow Ink Pen Long Lasting Eye Brow Pencil Fork,"84,076.67 VND,86,178.60 VND",,
pencil,Eyebrow Pencil  Microblading SPMU Outlining Marking Pen Brow Liner Peel- Off UK,"89,781.88 VND,101,792.83 VND",,
pencil,"Benefit PRECISELY, MY BROW PENCIL ultra-fine brow defining liner full size 0.08g","480,137.83 VND,600,247.33 VND",,
pencil,E.L.F Instant Lift Brow Pencil Eyebrow Brush Wand BRAND NEW & SEALED ,"149,836.64 VND",,
pencil,PHOERA Fine Eyebrow Pencil Double-end Waterproof Eyebrow Brush Pen Smudge-proof,"89,781.88 VND",,
pencil,4 Pack Tips Replacement for Apple Pencil 1st Gen 2nd Gen Pen Nibs for iPad Pro,"89,781.88 VND",,
pencil,Stylus Pen Active Capacitive Pencil 2022-18 for iPad iPad Air iPad mini iPad Pro,"166,190.48 VND",,
pencil,Microblading Tattoo Eyebrow Ink Pen Long Lasting Eye Brow Pencil 3D Fork Makeup,"59,285.71 VND",,
pencil,Eyebrow PENCIL & BRUSH - Fine Brow Definition Shaper - Waterproof Liner ,"89,781.88 VND",,
pencil,Unisex Eyebrow Tattoo Pencil Pen Liner Brown Long Lasting Eye Makeup Cosmetic  ^,"55,714.29 VND",,
pencil,Shop on eBay,$20.00,,
pencil,For Apple Pencil Stylus for iPad Pro/Mini 6/Air 4 5 Wireless Charging Bluetooth,"428,571.43 VND",,
pencil,Eyebrow PENCIL & BRUSH - Fine Brow Definition Shaper - Waterproof Liner ,"89,781.88 VND",,
pencil,Unisex Eyebrow Tattoo Pencil Pen Liner Brown Long Lasting Eye Makeup Cosmetic  ^,"55,714.29 VND",,
pencil,Waterproof Eyebrow Pencil Pen Liner Free Cutting Microblading Permanent MakeUp,"88,580.79 VND",,
pencil,"Avon True colour Glimmerstick Brow Definer,Tattoo,Brow Sculpting,various shade","149,836.64 VND,239,918.79 VND",,
pencil,Waterproof Eyebrow Pencil Twist Up Retractable Brow Liner - Black Blonde Brown,"30,027.38 VND,112,602.69 VND",4.5 out of 5 stars.,67 product ratings
pencil,Colorful Liquid Eyeliner Pencil Eye Liner Gel Pens Long Lasting Waterpoof #AU,"22,787.45 VND,52,332.55 VND",,
pencil,Shu Uemura Eyebrow Eyeliner Pencil Hard Formula 9 Full size,"532,857.14 VND",,
pencil,Colorful Liquid Eyeliner Pencil Eye Liner Gel Pens Long Lasting Waterpoof Makeup,"33,095.24 VND",,
pencil,AVON MICRO Fine Brow Retractable Stick.Pencil - Brand New with Box ALL SHADES,"134,222.40 VND,143,230.60 VND",,
pencil,Apple Pencil Stylus for Apple iPad Pro & iPad 6th Gen A1603 MK0C2AM/A 1st Gen,"1,404,523.81 VND",4.5 out of 5 stars.,1636 product ratings
pencil,Long-Lasting Eyeliner Pen Waterproof White Eyebrow Pencil Brow Pen Tattoo Tint&,"28,130.71 VND,60,033.12 VND",,
